PR_Number,Author,Score,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Antipatterns,Comment_Violations,Timestamp
497041,r-ryantm,70,0,0,0,,,,2026-03-06T19:57:20Z
497040,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:57:21Z
497038,filip2cz,70,0,0,0,,,,2026-03-06T19:57:22Z
497037,r-ryantm,70,0,0,0,,,,2026-03-06T19:57:23Z
497036,r-ryantm,70,0,0,0,,,,2026-03-06T19:57:25Z
497035,r-ryantm,70,0,0,0,,,,2026-03-06T19:57:25Z
497034,ZZBaron,20,0,0,0,,,,2026-03-06T19:57:26Z
497033,r-ryantm,20,0,0,0,,,,2026-03-06T19:57:27Z
497032,r-ryantm,20,0,0,0,,,,2026-03-06T19:57:28Z
497031,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:57:29Z
497030,myaaaaaaaaa,20,0,0,0,,,,2026-03-06T19:57:29Z
497029,r-ryantm,70,0,0,0,,,,2026-03-06T19:57:30Z
497028,r-ryantm,20,0,0,0,,,,2026-03-06T19:57:31Z
497027,sebastianpetrovski,70,0,0,0,,,,2026-03-06T19:57:31Z
497026,paperdigits,20,0,0,0,,,,2026-03-06T19:57:32Z
497025,SuperSandro2000,20,0,0,0,,,,2026-03-06T19:57:33Z
497024,SuperSandro2000,20,0,0,0,,,,2026-03-06T19:57:35Z
497023,r-ryantm,20,0,0,0,,,,2026-03-06T19:57:35Z
497022,paperdigits,20,0,0,0,,,,2026-03-06T19:57:36Z
497021,SuperSandro2000,20,0,0,0,,,,2026-03-06T19:57:37Z
497019,r-ryantm,20,0,0,0,,,,2026-03-06T19:57:41Z
497018,SuperSandro2000,20,0,0,0,,,,2026-03-06T19:57:42Z
497017,SuperSandro2000,20,0,0,0,,,,2026-03-06T19:57:50Z
497016,mweinelt,70,0,0,0,,,,2026-03-06T19:57:57Z
497015,sebastianpetrovski,20,0,0,0,,,,2026-03-06T19:57:58Z
497014,r-ryantm,70,0,0,0,,,,2026-03-06T19:57:59Z
497013,hensoko,20,0,0,0,,,,2026-03-06T19:58:00Z
497012,ddogfoodd,70,0,0,0,,,,2026-03-06T19:58:00Z
497011,diogotcorreia,20,0,0,0,,,,2026-03-06T19:58:01Z
497010,sarahec,20,0,0,0,,,,2026-03-06T19:58:02Z
497009,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:58:03Z
497008,r-ryantm,70,0,0,0,,,,2026-03-06T19:58:03Z
497007,r-ryantm,20,0,0,0,,,,2026-03-06T19:58:04Z
497006,r-ryantm,20,0,0,0,,,,2026-03-06T19:58:05Z
497005,domenkozar,70,0,0,0,,,,2026-03-06T19:58:06Z
497004,paperdigits,20,0,0,0,,,,2026-03-06T19:58:07Z
497003,r-ryantm,70,0,0,0,,,,2026-03-06T19:58:07Z
497002,r-ryantm,20,0,0,0,,,,2026-03-06T19:58:08Z
497001,GaetanLepage,70,0,0,0,,,,2026-03-06T19:58:09Z
497000,r-ryantm,20,0,0,0,,,,2026-03-06T19:58:10Z
496999,guylamar2006,70,0,0,0,,,,2026-03-06T19:58:11Z
496998,SuperSandro2000,70,0,0,0,,,,2026-03-06T19:58:13Z
496997,sarahec,50,0,0,0,,,,2026-03-06T19:58:14Z
496996,neelamber-mishra,20,0,0,0,,,,2026-03-06T19:58:15Z
